movieId,vectorID,title,genres,tags,weight_rating,imdbId,page_content
11,10,"American President, The (1995)","Comedy,Drama,Romance","chick flick,conspiracy,drama,feel good movie,feel-good,girlie movie,good,great,idealism,love story,political,politics,president,romance,romantic,romantic comedy,single father,world politics",3.6408291736237812,tt0112346,"Movie's title: American President, The (1995)
genres: Comedy,Drama,Romance
tags: chick flick,conspiracy,drama,feel good movie,feel-good,girlie movie,good,great,idealism,love story,political,politics,president,romance,romantic,romantic comedy,single father,world politics"
12,11,Dracula: Dead and Loving It (1995),"Comedy,Horror","comedy,goofy,original,parody,silly fun,spoof",2.782860520323814,tt0112896,"Movie's title: Dracula: Dead and Loving It (1995)
genres: Comedy,Horror
tags: comedy,goofy,original,parody,silly fun,spoof"
13,12,Balto (1995),"Adventure,Animation,Children","alaska,animal movie,animals,animated,animation,cartoon,computer animation,disney,disney animated feature,dog,dogs,kids and family,talking animals",3.2690392528308676,tt0112453,"Movie's title: Balto (1995)
genres: Adventure,Animation,Children
tags: alaska,animal movie,animals,animated,animation,cartoon,computer animation,disney,disney animated feature,dog,dogs,kids and family,talking animals"
14,13,Nixon (1995),Drama,"assassination,based on a true story,biographical,biography,biopic,complex,conspiracy,corruption,drama,dramatic,factual,greed,historical,history,original,paranoia,political,politics,president,race issues,true story,world politics",3.402460717982249,tt0113987,"Movie's title: Nixon (1995)
genres: Drama
tags: assassination,based on a true story,biographical,biography,biopic,complex,conspiracy,corruption,drama,dramatic,factual,greed,historical,history,original,paranoia,political,politics,president,race issues,true story,world politics"
15,14,Cutthroat Island (1995),"Action,Adventure,Romance","action,action packed,adventure,big budget,fight scenes,fun movie,good action,pirates,swashbuckler,sword fight,sword fighting,treasure,treasure hunt",2.8897428449087945,tt0112760,"Movie's title: Cutthroat Island (1995)
genres: Action,Adventure,Romance
tags: action,action packed,adventure,big budget,fight scenes,fun movie,good action,pirates,swashbuckler,sword fight,sword fighting,treasure,treasure hunt"
16,15,Casino (1995),"Crime,Drama","awesome soundtrack,based on a book,betrayal,bloody,brutal,brutality,casino,complex,corruption,crime,crime gone awry,dialogue,excellent script,fast paced,foul language,gangster,gangsters,good soundtrack,gratuitous violence,great,great acting,great movie,greed,highly quotable,imdb top 250,intense,interesting,las vegas,mafia,masterpiece,mentor,mob,narrated,organized crime,original,oscar (best directing),oscar (best supporting actor),powerful ending,storytelling,stylish,stylized,violence,violent,visceral",3.7511403325701305,tt0112641,"Movie's title: Casino (1995)
genres: Crime,Drama
tags: awesome soundtrack,based on a book,betrayal,bloody,brutal,brutality,casino,complex,corruption,crime,crime gone awry,dialogue,excellent script,fast paced,foul language,gangster,gangsters,good soundtrack,gratuitous violence,great,great acting,great movie,greed,highly quotable,imdb top 250,intense,interesting,las vegas,mafia,masterpiece,mentor,mob,narrated,organized crime,original,oscar (best directing),oscar (best supporting actor),powerful ending,storytelling,stylish,stylized,violence,violent,visceral"
17,16,Sense and Sensibility (1995),"Drama,Romance","18th century,19th century,adaptation,adapted from:book,affectionate,based on a book,based on book,beautiful scenery,beautifully filmed,british,chick flick,classic,costume drama,england,excellent,heartwarming,jane austen,literature,london,oscar (best actress),passionate,period piece,romance,romantic,sisters",3.926950306235081,tt0114388,"Movie's title: Sense and Sensibility (1995)
genres: Drama,Romance
tags: 18th century,19th century,adaptation,adapted from:book,affectionate,based on a book,based on book,beautiful scenery,beautifully filmed,british,chick flick,classic,costume drama,england,excellent,heartwarming,jane austen,literature,london,oscar (best actress),passionate,period piece,romance,romantic,sisters"
18,17,Four Rooms (1995),Comedy,"dialogue,great ending,hotel,multiple storylines,off-beat comedy,original,storytelling,stylish,tarantino,twists & turns,weird",3.351963305715212,tt0113101,"Movie's title: Four Rooms (1995)
genres: Comedy
tags: dialogue,great ending,hotel,multiple storylines,off-beat comedy,original,storytelling,stylish,tarantino,twists & turns,weird"
19,18,Ace Ventura: When Nature Calls (1995),Comedy,"africa,comedy,crude humor,detective,dumb,dumb but funny,funniest movies,funny,funny as hell,good sequel,goofy,gross-out,hilarious,jungle,original,parody,sequel,sequels,silly,silly fun,slapstick,spoof,stupid,stupid as hell,stupidity,very funny",2.6458682155349416,tt0112281,"Movie's title: Ace Ventura: When Nature Calls (1995)
genres: Comedy
tags: africa,comedy,crude humor,detective,dumb,dumb but funny,funniest movies,funny,funny as hell,good sequel,goofy,gross-out,hilarious,jungle,original,parody,sequel,sequels,silly,silly fun,slapstick,spoof,stupid,stupid as hell,stupidity,very funny"
20,19,Money Train (1995),"Action,Comedy,Crime,Drama,Thriller","action,action packed,big budget,fast paced,fight scenes,good action",2.9735916376422784,tt0113845,"Movie's title: Money Train (1995)
genres: Action,Comedy,Crime,Drama,Thriller
tags: action,action packed,big budget,fast paced,fight scenes,good action"
21,20,Get Shorty (1995),"Comedy,Crime,Thriller","anti-hero,based on a book,caper,clever,cool,crime,dark humor,dialogue,fun movie,gangster,gangsters,great,great dialogue,great movie,greed,hollywood,los angeles,mafia,mob,original,sarcasm,satire,twists & turns,violent",3.5655027296610804,tt0113161,"Movie's title: Get Shorty (1995)
genres: Comedy,Crime,Thriller
tags: anti-hero,based on a book,caper,clever,cool,crime,dark humor,dialogue,fun movie,gangster,gangsters,great,great dialogue,great movie,greed,hollywood,los angeles,mafia,mob,original,sarcasm,satire,twists & turns,violent"
22,21,Copycat (1995),"Crime,Drama,Horror,Mystery,Thriller","chase,detective,good,internet,investigation,mentor,murder,murder mystery,police investigation,psychological,psychology,san francisco,serial killer,suspense,suspenseful,tense,thriller,twist,twists & turns",3.313129442203957,tt0112722,"Movie's title: Copycat (1995)
genres: Crime,Drama,Horror,Mystery,Thriller
tags: chase,detective,good,internet,investigation,mentor,murder,murder mystery,police investigation,psychological,psychology,san francisco,serial killer,suspense,suspenseful,tense,thriller,twist,twists & turns"
23,22,Assassins (1995),"Action,Crime,Thriller","action,action packed,assassin,assassination,assassins,chase,explosions,fast paced,good action,gunfight,hit men,hitman,surveillance,vengeance",3.175642770642527,tt0112401,"Movie's title: Assassins (1995)
genres: Action,Crime,Thriller
tags: action,action packed,assassin,assassination,assassins,chase,explosions,fast paced,good action,gunfight,hit men,hitman,surveillance,vengeance"
24,23,Powder (1995),"Drama,Sci-Fi","bittersweet,cancer,compassionate,destiny,earnest,emotional,first contact,humanity,life & death,life philosophy,male nudity,original,poignant,sentimental,tear jerker,technology,touching",3.2090192403263966,tt0114168,"Movie's title: Powder (1995)
genres: Drama,Sci-Fi
tags: bittersweet,cancer,compassionate,destiny,earnest,emotional,first contact,humanity,life & death,life philosophy,male nudity,original,poignant,sentimental,tear jerker,technology,touching"
25,24,Leaving Las Vegas (1995),"Drama,Romance","addiction,alcoholism,bleak,dark,death,depressing,depression,downbeat,drama,drinking,good soundtrack,great acting,heartbreaking,intimate,las vegas,loneliness,love,love story,melancholic,melancholy,original,oscar (best actor),oscar (best actress),prostitution,redemption,relationships,sexualized violence",3.665375109485233,tt0113627,"Movie's title: Leaving Las Vegas (1995)
genres: Drama,Romance
tags: addiction,alcoholism,bleak,dark,death,depressing,depression,downbeat,drama,drinking,good soundtrack,great acting,heartbreaking,intimate,las vegas,loneliness,love,love story,melancholic,melancholy,original,oscar (best actor),oscar (best actress),prostitution,redemption,relationships,sexualized violence"
26,25,Othello (1995),Drama,"adaptation,based on a play,betrayal,good,great acting,great ending,literature,original,shakespeare,tragedy",3.512285419745013,tt0114057,"Movie's title: Othello (1995)
genres: Drama
tags: adaptation,based on a play,betrayal,good,great acting,great ending,literature,original,shakespeare,tragedy"
27,26,Now and Then (1995),"Children,Drama","adolescence,awesome soundtrack,childhood,coming of age,coming-of-age,friendship,girlie movie,good soundtrack,male nudity,nostalgic,teen movie,unlikely friendships,women",3.3480004680713886,tt0114011,"Movie's title: Now and Then (1995)
genres: Children,Drama
tags: adolescence,awesome soundtrack,childhood,coming of age,coming-of-age,friendship,girlie movie,good soundtrack,male nudity,nostalgic,teen movie,unlikely friendships,women"
28,27,Persuasion (1995),"Drama,Romance","18th century,19th century,adaptation,adapted from:book,based on a book,beautiful scenery,british,costume drama,england,excellent,jane austen,literature,love,love story,period piece,romantic",3.826294875856764,tt0114117,"Movie's title: Persuasion (1995)
genres: Drama,Romance
tags: 18th century,19th century,adaptation,adapted from:book,based on a book,beautiful scenery,british,costume drama,england,excellent,jane austen,literature,love,love story,period piece,romantic"
29,28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure,Drama,Fantasy,Mystery,Sci-Fi","absurd,allegory,art house,artistic,atmospheric,beautiful,beautifully filmed,bizarre,bleak,breathtaking,cerebral,childhood,children,cinematography,clones,colourful,complex,creativity,cyberpunk,dark,dark fantasy,dreamlike,dreams,dystopia,enigmatic,existentialism,fairy tale,fairy tales,fantasy,fantasy world,futuristic,good soundtrack,great ending,hallucinatory,imagination,imdb top 250,masterpiece,melancholic,mindfuck,nocturnal,original,sci fi,storytelling,strange,stunning,stylized,surreal,surrealism,twists & turns,visual,visually appealing,visually stunning,visuals,weird,whimsical",3.861284865281673,tt0112682,"Movie's title: City of Lost Children, The (Cité des enfants perdus, La) (1995)
genres: Adventure,Drama,Fantasy,Mystery,Sci-Fi
tags: absurd,allegory,art house,artistic,atmospheric,beautiful,beautifully filmed,bizarre,bleak,breathtaking,cerebral,childhood,children,cinematography,clones,colourful,complex,creativity,cyberpunk,dark,dark fantasy,dreamlike,dreams,dystopia,enigmatic,existentialism,fairy tale,fairy tales,fantasy,fantasy world,futuristic,good soundtrack,great ending,hallucinatory,imagination,imdb top 250,masterpiece,melancholic,mindfuck,nocturnal,original,sci fi,storytelling,strange,stunning,stylized,surreal,surrealism,twists & turns,visual,visually appealing,visually stunning,visuals,weird,whimsical"
30,29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Crime,Drama","1930s,beautifully filmed,cinematography,colourful,enigmatic,foreign,gangster,gangsters,loneliness,melancholic,original,scenic,storytelling,stunning,visual,visually appealing",3.448205105411091,tt0115012,"Movie's title: Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
genres: Crime,Drama
tags: 1930s,beautifully filmed,cinematography,colourful,enigmatic,foreign,gangster,gangsters,loneliness,melancholic,original,scenic,storytelling,stunning,visual,visually appealing"
31,30,Dangerous Minds (1995),Drama,"based on true story,childhood,drama,gangsters,good,good soundtrack,high school,inspirational,inspiring,mentor,school,teacher",3.25214880084453,tt0112792,"Movie's title: Dangerous Minds (1995)
genres: Drama
tags: based on true story,childhood,drama,gangsters,good,good soundtrack,high school,inspirational,inspiring,mentor,school,teacher"
32,31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Mystery,Sci-Fi,Thriller","absurd,alternate reality,apocalypse,atmospheric,cerebral,cinematography,clever,complex,complicated,complicated plot,confusing,dark,destiny,distopia,dystopia,dystopic future,end of the world,enigmatic,excellent,excellent script,exceptional acting,existentialism,future,futuristic,genius,gilliam,great acting,great ending,great movie,imagination,imdb top 250,insanity,intellectual,interesting,masterpiece,memory,mindfuck,non-linear,original,original plot,paranoid,philosophical,plot holes,plot twist,post apocalyptic,post-apocalyptic,powerful ending,psychiatry,psychological,psychology,sci fi,sci-fi,science fiction,scifi,story,storytelling,technology,thought-provoking,time loop,time travel,tricky,twist,twist ending,twists & turns,visual,visually appealing,visually stunning,weird",3.880279113592611,tt0114746,"Movie's title: Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
genres: Mystery,Sci-Fi,Thriller
tags: absurd,alternate reality,apocalypse,atmospheric,cerebral,cinematography,clever,complex,complicated,complicated plot,confusing,dark,destiny,distopia,dystopia,dystopic future,end of the world,enigmatic,excellent,excellent script,exceptional acting,existentialism,future,futuristic,genius,gilliam,great acting,great ending,great movie,imagination,imdb top 250,insanity,intellectual,interesting,masterpiece,memory,mindfuck,non-linear,original,original plot,paranoid,philosophical,plot holes,plot twist,post apocalyptic,post-apocalyptic,powerful ending,psychiatry,psychological,psychology,sci fi,sci-fi,science fiction,scifi,story,storytelling,technology,thought-provoking,time loop,time travel,tricky,twist,twist ending,twists & turns,visual,visually appealing,visually stunning,weird"
33,32,Wings of Courage (1995),"Adventure,Romance,IMAX","70mm,adventure,mentor,original,pg-13,unusual plot structure",3.252979763418334,tt0114952,"Movie's title: Wings of Courage (1995)
genres: Adventure,Romance,IMAX
tags: 70mm,adventure,mentor,original,pg-13,unusual plot structure"
34,33,Babe (1995),"Children,Drama","animal movie,animals,based on book,children,computer animation,cute,cute!,fairy tale,family,feel-good,heartwarming,kids,kids and family,original,pigs,sweet,talking animals",3.628455293609477,tt0112431,"Movie's title: Babe (1995)
genres: Children,Drama
tags: animal movie,animals,based on book,children,computer animation,cute,cute!,fairy tale,family,feel-good,heartwarming,kids,kids and family,original,pigs,sweet,talking animals"
35,34,Carrington (1995),"Drama,Romance","artist,based on a book,character study,england,intimate,loneliness,love,love story,love triangles,melancholic,passionate,relationships,sexual,very interesting",3.391628133571796,tt0112637,"Movie's title: Carrington (1995)
genres: Drama,Romance
tags: artist,based on a book,character study,england,intimate,loneliness,love,love story,love triangles,melancholic,passionate,relationships,sexual,very interesting"
36,35,Dead Man Walking (1995),"Crime,Drama","based on a book,based on book,brutality,compassionate,crime,death,death penalty,drama,dramatic,emotional,great acting,guilt,heartbreaking,interesting,justice,lawyer,lawyers,life & death,moral ambiguity,murder,original,oscar (best actress),police investigation,prison,rape,redemption,social commentary,thought-provoking,true story",3.902881965582615,tt0112818,"Movie's title: Dead Man Walking (1995)
genres: Crime,Drama
tags: based on a book,based on book,brutality,compassionate,crime,death,death penalty,drama,dramatic,emotional,great acting,guilt,heartbreaking,interesting,justice,lawyer,lawyers,life & death,moral ambiguity,murder,original,oscar (best actress),police investigation,prison,rape,redemption,social commentary,thought-provoking,true story"
37,36,Across the Sea of Time (1995),"Documentary,IMAX","3d,adventure,destiny,good soundtrack,happy ending,justice,mentor,new york city,pg-13,special,storytelling,technology,visual,visuals",3.250048647701102,tt0112286,"Movie's title: Across the Sea of Time (1995)
genres: Documentary,IMAX
tags: 3d,adventure,destiny,good soundtrack,happy ending,justice,mentor,new york city,pg-13,special,storytelling,technology,visual,visuals"
38,37,It Takes Two (1995),"Children,Comedy","adoption,childhood,children,cute,cute!,fun,girlie movie,kids,romantic comedy,sweet,switching places",3.143799879625284,tt0113442,"Movie's title: It Takes Two (1995)
genres: Children,Comedy
tags: adoption,childhood,children,cute,cute!,fun,girlie movie,kids,romantic comedy,sweet,switching places"
39,38,Clueless (1995),"Comedy,Romance","adapted from:book,adolescence,awesome soundtrack,chick flick,comedy,coming-of-age,fashion,fun,fun movie,funny,geeks,girlie movie,high school,jane austen,quotable,teen,teen movie,teenager,teenagers,teens,very funny,virginity",3.4066312468993987,tt0112697,"Movie's title: Clueless (1995)
genres: Comedy,Romance
tags: adapted from:book,adolescence,awesome soundtrack,chick flick,comedy,coming-of-age,fashion,fun,fun movie,funny,geeks,girlie movie,high school,jane austen,quotable,teen,teen movie,teenager,teenagers,teens,very funny,virginity"
40,39,"Cry, the Beloved Country (1995)",Drama,"africa,based on a book,beautiful scenery,segregation,south africa",3.419861563159207,tt0112749,"Movie's title: Cry, the Beloved Country (1995)
genres: Drama
tags: africa,based on a book,beautiful scenery,segregation,south africa"
41,40,Richard III (1995),"Drama,War","18th century,1930s,adaptation,alternate history,based on a play,betrayal,dramatic,england,fascism,great acting,historical,literature,manipulation,original,oscar (best actress),oscar (best supporting actress),robert downey jr,shakespeare,talky,tragedy",3.724714873445655,tt0114279,"Movie's title: Richard III (1995)
genres: Drama,War
tags: 18th century,1930s,adaptation,alternate history,based on a play,betrayal,dramatic,england,fascism,great acting,historical,literature,manipulation,original,oscar (best actress),oscar (best supporting actress),robert downey jr,shakespeare,talky,tragedy"
42,41,Dead Presidents (1995),"Action,Crime,Drama","bank robbery,bloody,brothers,brutality,crime,gangsters,heist,original,powerful ending,splatter,vietnam,vietnam war,violence,violent",3.127639335563054,tt0112819,"Movie's title: Dead Presidents (1995)
genres: Action,Crime,Drama
tags: bank robbery,bloody,brothers,brutality,crime,gangsters,heist,original,powerful ending,splatter,vietnam,vietnam war,violence,violent"
43,42,Restoration (1995),Drama,"18th century,beautiful scenery,costume drama,england,great,great movie,historical,history,irish accent,london,medieval,original,period piece,revolution,robert downey jr,us history",3.3998747084802767,tt0114272,"Movie's title: Restoration (1995)
genres: Drama
tags: 18th century,beautiful scenery,costume drama,england,great,great movie,historical,history,irish accent,london,medieval,original,period piece,revolution,robert downey jr,us history"
44,43,Mortal Kombat (1995),"Action,Adventure,Fantasy","action,action packed,adapted from:game,awesome soundtrack,based on a video game,big budget,computer game,cool,fight scenes,fighting,franchise,fun,fun movie,good action,kung fu,martial arts,ninja,original,silly fun,special effects,video game,video game adaptation,video games,videogame",2.7201231455418875,tt0113855,"Movie's title: Mortal Kombat (1995)
genres: Action,Adventure,Fantasy
tags: action,action packed,adapted from:game,awesome soundtrack,based on a video game,big budget,computer game,cool,fight scenes,fighting,franchise,fun,fun movie,good action,kung fu,martial arts,ninja,original,silly fun,special effects,video game,video game adaptation,video games,videogame"
45,44,To Die For (1995),"Comedy,Drama,Thriller","black comedy,crime gone awry,dark comedy,dark humor,fake documentary,manipulation,murder,obsession,original,oscar (best actress),oscar (best directing),pornography,satire,satirical,sexy",3.369228708791755,tt0114681,"Movie's title: To Die For (1995)
genres: Comedy,Drama,Thriller
tags: black comedy,crime gone awry,dark comedy,dark humor,fake documentary,manipulation,murder,obsession,original,oscar (best actress),oscar (best directing),pornography,satire,satirical,sexy"
46,45,How to Make an American Quilt (1995),"Drama,Romance","adultery,based on a book,chick flick,love,love story,marriage,nudity (topless - brief),relationships,romantic,wedding,women",3.2721015265407383,tt0113347,"Movie's title: How to Make an American Quilt (1995)
genres: Drama,Romance
tags: adultery,based on a book,chick flick,love,love story,marriage,nudity (topless - brief),relationships,romantic,wedding,women"
47,46,Seven (a.k.a. Se7en) (1995),"Mystery,Thriller","alternate endings,atmospheric,bad ending,bleak,brutal,brutality,cerebral,chase,cinematography,clever,complex,complicated,corruption,creepy,crime,cynical,dark,detective,disturbing,downbeat,drama,enigmatic,excellent,excellent script,exceptional acting,good,good acting,good soundtrack,gory,great acting,great ending,great movie,greed,grim,gruesome,imdb top 250,insanity,intense,interesting,investigation,macabre,masterpiece,mentor,murder,murder mystery,mystery,noir,noir thriller,obsession,ominous,original,oscar (best directing),oscar (best editing),plot,plot twist,police,police investigation,powerful ending,psychological,psychology,scary,serial killer,storytelling,stylish,surprise ending,suspense,suspenseful,tense,thought-provoking,thriller,twist,twist ending,twists & turns,vengeance,very good,violence,violent,visceral,visual,weird",4.030490412289076,tt0114369,"Movie's title: Seven (a.k.a. Se7en) (1995)
genres: Mystery,Thriller
tags: alternate endings,atmospheric,bad ending,bleak,brutal,brutality,cerebral,chase,cinematography,clever,complex,complicated,corruption,creepy,crime,cynical,dark,detective,disturbing,downbeat,drama,enigmatic,excellent,excellent script,exceptional acting,good,good acting,good soundtrack,gory,great acting,great ending,great movie,greed,grim,gruesome,imdb top 250,insanity,intense,interesting,investigation,macabre,masterpiece,mentor,murder,murder mystery,mystery,noir,noir thriller,obsession,ominous,original,oscar (best directing),oscar (best editing),plot,plot twist,police,police investigation,powerful ending,psychological,psychology,scary,serial killer,storytelling,stylish,surprise ending,suspense,suspenseful,tense,thought-provoking,thriller,twist,twist ending,twists & turns,vengeance,very good,violence,violent,visceral,visual,weird"
48,47,Pocahontas (1995),"Animation,Children,Drama,Musical,Romance","animals,animated,animation,cartoon,disney,disney animated feature,fairy tale,family,indians,kids and family,love story,musical,native americans,original,romance,stereotypes,story,talking animals",2.975032578911615,tt0114148,"Movie's title: Pocahontas (1995)
genres: Animation,Children,Drama,Musical,Romance
tags: animals,animated,animation,cartoon,disney,disney animated feature,fairy tale,family,indians,kids and family,love story,musical,native americans,original,romance,stereotypes,story,talking animals"
49,48,When Night Is Falling (1995),"Drama,Romance","beautifully filmed,erotic,glbt,lesbian,love,love story,nudity (topless - notable),passionate,relationships,romantic,sexy,women",3.314334229860694,tt0114916,"Movie's title: When Night Is Falling (1995)
genres: Drama,Romance
tags: beautifully filmed,erotic,glbt,lesbian,love,love story,nudity (topless - notable),passionate,relationships,romantic,sexy,women"
50,49,"Usual Suspects, The (1995)","Crime,Mystery,Thriller","action,alternate endings,anti-hero,bad ending,caper,cerebral,cinematography,classic,clever,complex,complicated,complicated plot,con artists,con men,confusing,conspiracy,corruption,crime,cult classic,dark,dialogue,drama,dramatic,enigmatic,ensemble cast,excellent,excellent script,exceptional acting,fast paced,foul language,gangster,good,good acting,good soundtrack,great,great acting,great dialogue,great ending,great movie,greed,heist,highly quotable,imdb top 250,intellectual,intelligent,intense,interesting,investigation,manipulation,masterpiece,mentor,mindfuck,murder,murder mystery,mystery,narrated,neo-noir,noir thriller,non-linear,nonlinear,organized crime,original,original plot,oscar,oscar (best actor),oscar (best actress),oscar (best directing),oscar (best picture),oscar (best supporting actor),oscar (best writing - screenplay written directly for the screen),oscar winner,philosophy,plot,plot twist,police investigation,powerful ending,psychological,quotable,social commentary,story,storytelling,stylish,suprisingly clever,surprise ending,suspense,suspenseful,talky,tense,thriller,tricky,twist,twist ending,twists & turns,very good,violence,violent,visually appealing,weird",4.305600078190412,tt0114814,"Movie's title: Usual Suspects, The (1995)
genres: Crime,Mystery,Thriller
tags: action,alternate endings,anti-hero,bad ending,caper,cerebral,cinematography,classic,clever,complex,complicated,complicated plot,con artists,con men,confusing,conspiracy,corruption,crime,cult classic,dark,dialogue,drama,dramatic,enigmatic,ensemble cast,excellent,excellent script,exceptional acting,fast paced,foul language,gangster,good,good acting,good soundtrack,great,great acting,great dialogue,great ending,great movie,greed,heist,highly quotable,imdb top 250,intellectual,intelligent,intense,interesting,investigation,manipulation,masterpiece,mentor,mindfuck,murder,murder mystery,mystery,narrated,neo-noir,noir thriller,non-linear,nonlinear,organized crime,original,original plot,oscar,oscar (best actor),oscar (best actress),oscar (best directing),oscar (best picture),oscar (best supporting actor),oscar (best writing - screenplay written directly for the screen),oscar winner,philosophy,plot,plot twist,police investigation,powerful ending,psychological,quotable,social commentary,story,storytelling,stylish,suprisingly clever,surprise ending,suspense,suspenseful,talky,tense,thriller,tricky,twist,twist ending,twists & turns,very good,violence,violent,visually appealing,weird"
52,50,Mighty Aphrodite (1995),"Comedy,Drama,Romance","adoption,great acting,original,oscar,oscar (best actor),oscar (best actress),oscar (best supporting actress),pornography,prostitution",3.5073745176145037,tt0113819,"Movie's title: Mighty Aphrodite (1995)
genres: Comedy,Drama,Romance
tags: adoption,great acting,original,oscar,oscar (best actor),oscar (best actress),oscar (best supporting actress),pornography,prostitution"
53,51,Lamerica (1994),"Adventure,Drama",poverty,3.3098740531489836,tt0110299,"Movie's title: Lamerica (1994)
genres: Adventure,Drama
tags: poverty"
54,52,"Big Green, The (1995)","Children,Comedy","children,football,kids,kids and family,soccer,sports,underdog",3.0912311068555085,tt0112499,"Movie's title: Big Green, The (1995)
genres: Children,Comedy
tags: children,football,kids,kids and family,soccer,sports,underdog"
55,53,Georgia (1995),Drama,"family drama,good soundtrack,musicians,relationships,rock and roll,sisters",3.255166314008944,tt0113158,"Movie's title: Georgia (1995)
genres: Drama
tags: family drama,good soundtrack,musicians,relationships,rock and roll,sisters"
